Date,Time,Open,High,Low,Close,Volume
1/25/2018,09:15:00,11096,11101,11070.9,11073.05,88800
1/25/2018,09:16:00,11073.25,11078.25,11068.9,11077.15,62700
1/25/2018,09:17:00,11078,11078,11072.6,11077.5,86325
1/25/2018,09:18:00,11077.5,11086.3,11075.85,11086.3,80400
1/25/2018,09:19:00,11084.15,11087.35,11081.8,11082.1,32325
1/25/2018,09:20:00,11082.9,11082.9,11075,11081.95,77175
1/25/2018,09:21:00,11082,11087.65,11081.05,11086.95,97050
1/25/2018,09:22:00,11086,11086,11080.1,11083.25,38850
1/25/2018,09:23:00,11083.25,11084,11077.05,11078.5,32175
1/25/2018,09:24:00,11075.15,11075.35,11073.35,11075.35,54450
1/25/2018,09:25:00,11075.2,11081.3,11073.95,11076.95,57675
1/25/2018,09:26:00,11075.95,11080,11075.6,11076.3,45600
1/25/2018,09:27:00,11077,11080,11076.1,11078.3,44175
1/25/2018,09:28:00,11078.3,11078.35,11075,11076.05,51900
1/25/2018,09:29:00,11076.2,11079.95,11075.15,11078.5,45450
1/25/2018,09:30:00,11078.5,11079.45,11075,11076.6,40275
1/25/2018,09:31:00,11076.55,11079.55,11075.4,11079,20100
1/25/2018,09:32:00,11079,11081,11077.4,11077.95,42300
1/25/2018,09:33:00,11077.5,11078.95,11075,11075,40050
1/25/2018,09:34:00,11075,11076.05,11072.75,11073,73125
1/25/2018,09:35:00,11072.1,11072.75,11068,11068,62475
1/25/2018,09:36:00,11068,11073,11067.05,11072.95,66525
1/25/2018,09:37:00,11072.9,11072.9,11069,11069.15,64500
1/25/2018,09:38:00,11069.45,11069.95,11063.2,11066,65100
1/25/2018,09:39:00,11065.5,11071.85,11065,11071.85,58950
1/25/2018,09:40:00,11068.55,11070.3,11067,11069.05,22650
1/25/2018,09:41:00,11069.05,11073,11068,11073,26775
1/25/2018,09:42:00,11072.95,11074,11071,11074,19050
1/25/2018,09:43:00,11074,11076.7,11073.1,11076.05,36450
1/25/2018,09:44:00,11076.05,11077.4,11075,11076.95,15375
1/25/2018,09:45:00,11076.75,11076.95,11074.05,11074.95,21900
1/25/2018,09:46:00,11075.15,11079.35,11075.05,11079.35,26925
1/25/2018,09:47:00,11079.35,11082.85,11078.5,11081,33900
1/25/2018,09:48:00,11080.05,11080.7,11078.55,11078.9,17850
1/25/2018,09:49:00,11078.9,11079.45,11078.4,11079.4,25575
1/25/2018,09:50:00,11079.4,11082.05,11078.85,11082,46650
1/25/2018,09:51:00,11082.3,11083.5,11082.1,11083.1,41850
1/25/2018,09:52:00,11083.1,11084.45,11082.1,11082.1,37575
1/25/2018,09:53:00,11082.1,11082.75,11080.1,11081.95,42225
1/25/2018,09:54:00,11079.25,11081.8,11079.25,11081.55,32400
1/25/2018,09:55:00,11081.55,11083.7,11081.55,11083.35,27825
1/25/2018,09:56:00,11083.35,11088,11083.35,11087,51750
1/25/2018,09:57:00,11087,11089.85,11083.35,11083.35,44775
1/25/2018,09:58:00,11083.35,11086.4,11083.35,11085.1,19050
1/25/2018,09:59:00,11085.4,11085.4,11083.55,11085.3,33225
1/25/2018,10:00:00,11085.85,11087.65,11085.75,11087.05,45300
1/25/2018,10:01:00,11087.6,11088.9,11085,11086.2,69300
1/25/2018,10:02:00,11086.2,11086.45,11082.35,11082.65,30900
1/25/2018,10:03:00,11082.75,11083.5,11078.05,11080.15,34500
1/25/2018,10:04:00,11080.15,11081.2,11079.05,11079.2,26475
1/25/2018,10:05:00,11079.05,11083.95,11079.05,11082.75,37725
1/25/2018,10:06:00,11082.75,11084.6,11081,11083.1,20400
1/25/2018,10:07:00,11082.55,11083.45,11082.2,11082.95,45000
1/25/2018,10:08:00,11082.2,11082.95,11081,11081.45,35700
1/25/2018,10:09:00,11081.1,11081.85,11077.35,11077.65,35550
1/25/2018,10:10:00,11077.35,11081.5,11076.5,11081.25,23250
1/25/2018,10:11:00,11081.25,11082.4,11081,11082.25,18750
1/25/2018,10:12:00,11082.25,11084.7,11081.7,11084.7,17175
1/25/2018,10:13:00,11084.55,11084.55,11083.25,11083.95,26625
1/25/2018,10:14:00,11084.05,11085.85,11084,11084.4,34050
1/25/2018,10:15:00,11084.4,11085.55,11084.2,11084.95,26175
